"referenceCode","legacyId","parentId","qubitParentSlug","identifier","accessionNumber","title","levelOfDescription","extentAndMedium","repository","archivalHistory","acquisition","scopeAndContent","appraisal","accruals","arrangement","accessConditions","reproductionConditions","language","script","languageNote","physicalCharacteristics","findingAids","locationOfOriginals","locationOfCopies","relatedUnitsOfDescription","publicationNote","digitalObjectURI","digitalObjectChecksum","generalNote","subjectAccessPoints","placeAccessPoints","nameAccessPoints","genreAccessPoints","descriptionIdentifier","institutionIdentifier","rules","descriptionStatus","levelOfDetail","revisionHistory","languageOfDescription","scriptOfDescription","sources","archivistNote","publicationStatus","physicalObjectName","physicalObjectLocation","physicalObjectType","alternativeIdentifiers","alternativeIdentifierLabels","eventDates","eventTypes","eventStartDates","eventEndDates","eventDescriptions","eventActors","eventActorHistories","eventPlaces","culture"
"SeknegRi",121299,,,,,"Sekretariat Negara Republik Indonesia 1945-1949","Fonds",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,"Inventaris Arsip Sekretariat Negara Republik Indonesia Tahun 1945-1949",,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"479",,121505,,"479",,"Peraturan Pemerintah No. 44 tgl. 7 Oktober 1948 tentang Balai Pendidikan Ahli Hukum, disertai penjelasan.","Item","15 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"480",,121505,,"480",,"Rencana Peraturan Pemerintah No. 20 tgl. 16 November 1949 tentang perubahan tempat kedudukan Sekolah Tinggi Hukum termuat dalam Peraturan Pemerintah No. 73 tahun 1948.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"481",,121505,,"481",,"Penetapan Pemerintah No. 3/Oem tgl. 2 Juli 1946 tentang penambahan beberapa kata dalam pasal 5 No. 8 sub a dan b pada Putusan Kepala Departemen Pengajaran Pendidikan dan Kebudayaan No. 551/Bng.O.S.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Turunan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"482",,121505,,"482",,"Menteri Pengajaran Pendidikan dan Kebudayaan: Peraturan tgl. 15 Maret 1947 tentang mengakhiri pelajaran di Sekolah Rakyat Negeri pada penghabisan tahun pelajaran 1946/1947 dan ujian masuk ke Sekolah Lanjutan Tingkat Pertama tahun pelajaran 1947/1948.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"483",,121505,,"483",,"Menteri Agama: Peraturan-peraturan No. 1/1948 dan No. 2/1948 tgl. 12 Januari 1948 dan 9 Februari 1948 tentang pemberian bantuan kepada mahasiswa dan perguruan agama,  disertai surat pengantar.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"484",,121505,,"484",,"Menteri Kesehatan dan Menteri Pendidikan Pengajaran dan Kebudayaan: Surat Keputusan Bersama No. 3104/A1 tgl. 31 Mei 1948 tentang penggabungan Perguruan Tinggi Kedokteran, Fakultas Hukum dan Fakultas Kesustraan menjadi Gabungan Perguruan Tinggi Jakarta.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"485",,121505,,"485",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat-surat Keputusan No. 1805/B dan 1826/B tgl. 3 April 1947 dan 5 April 1948 tentang peraturan ujian penghabisan sekolah-sekolah lanjutan tahun pelajaran 1946/1947, disertai lampiran dan surat pengantar.","Item","11 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"486",,121505,,"486",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat Keputusan No. 638/B tgl. 24 Januari 1948 tentang pengadaan ujian negeri guna mencapai ijazah memegang Buku Bagian I dan Bagian II, disertai lampiran.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"487",,121505,,"487",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat-surat Keputusan No. 5409/B tgl. 29 Juni 1948 tentang pembukaan kelas III peralihan Sekolah Dagang pada Sekolah Ekonomi Bersubsidi Daha di Kediri.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"488",,121505,,"488",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat-surat Keputusan No. 6270/D tgl. 22 Juli 1948 tentang penambahan keputusan ke-3 dari Surat Keputusan Menteri Pendidikan Pengajaran dan Kebudayaan No. 5266 a/D tgl. 25 Juni 1948 yaitu pengangkatan sebagai Anggota Pengurus Kongres Kebudayaan Indonesia di Magelang: M. Tabrani, Soeratno Sostroamidjojo dan R. Roedjito.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"489",,121505,,"489",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat Keputusan No. 8856/B tgl. 12 Oktober 1948 tentang permulaan dan akhir tahun pelajaran 1948/1949 beserta liburan dan hari raya bagi sekolah-sekolah dalam tahun pelajaran 1948/1949, disertai lampiran.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"490",,121505,,"490",,"Menteri Pendidikan Pengajaran dan Kebudayaa: Surat Keputusan No. 10572/D tgl. 6 Desember 1948 tentang pembentukan Panitia Persiapan Penyelenggaraan berdirianya Sekolah Musik di Jogjakarta.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"491",,121505,,"491",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat Keputusan No. 120/A tgl. 3 September 1949 tentang pencabutan Surat Keputusan No. 6755/C tgl. 27 November 1947 dan mengenai pemberantasan buta huruf.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Turunan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"492",,121505,,"492",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat  Keputusan No. 188/B tgl. 21 Oktober 1949 tentang permulaan dan akhir tahun pelajaran 1949/1950, liburan sekolah dan hari raya bagi sekolah-sekolah dalam tahun pelajaran 1949/1950, disertai lampiran.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"493",,121505,,"493",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat Keputusan No. 428/A tgl. 24 November 1949 tentang Peraturan Penyelenggaraan Masyarakat Kementerian Pendidikan Pengajaran dan Kebudayaan.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"494",,121505,,"494",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat Keputusan No. 423/A tgl. 24 November 1949 tentang Jawatan Pendidikan Masyarakat Pemberantasan Buta Huruf (PBH) dan kursus lanjutan PBH.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"495",,121505,,"495",,"Menteri Pendidikan Pengajaran dan Kebudayaan: Surat Keputusan No. 32/Kebud tgl. 15 Desember 1949 tentang didirikannya Akademi Seni Rupa di kota Jogjakarta, disertai lampiran.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tindasan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"496",,121505,,"496",,"Menteri Kemakmuran kepada Presiden: Surat tgl. 15 Oktober 1946 tentang Rencana Keputusan Menteri Kemakmuran mengenai Perguruan Tinggi Pertanian di Klaten dan Malang, disertai penjelasannya dan lampiran.","Item","7 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"497",,121505,,"497",,"Menteri Kemakmuran: Surat Keputusan No. 3034/T.O. tgl. 19 Mei 1948 tentang penggabungan SPM Malang dan SPM Madiun di bawah pimpinan Kepala SPM Madiun.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"498",,121505,,"498",,"Menteri Kemakmuran: Surat Keputusan No. 7253/T.O. tgl. 28 Oktober 1948 tentang kelas peralihan di sekolah-sekolah pertanian, disertai penjelasannya.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"499",,121505,,"499",,"Menteri Kemakmuran: Surat Keputusan No. 8058/T.O. tgl. 29 November 1948 tentang tidak berlakunya ayat 2 pasal 7 Peraturan Kelas Peralihan di sekolah-sekolah pertanian bagi guru tetap yang sejak bulan Juni 1948-September 1948 (bulan penutupan sekolah peralihan) sudah memberikan pelajaran pada kelas peralihan.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"500",,121505,,"500",,"Menteri Agama: Surat-surat Keputusan No. 1259/P-5 dan No. A.558/P.5 tgl. 6 Desember 1946 dan 4 Oktober 1947 tentang hari raya.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan, stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"501",,121505,,"501",,"Kementerian Agama: Surat Keputusan No. 546/A/P.5 tgl. 9 September 1948 tentang hari raya untuk tahun 1949.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"502",,121505,,"502",,"Menteri Kesehatan: Surat Keputusan No. 25/Peg/J tgl. 12 Juli 1948 tentang penggantian ijazah Jepang dengan ijazah Republik Indonesia.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"503",,121505,,"503",,"Menteri Pertahanan: Surat Keputusan No. 6/A.P/1949 tgl. 22 Juli 1949 tentang pemisahan Akademi Militer Tehnis Administrasi dan Organisatoris dari Bagian Pendidikan dan Latihan, Staf Tata Usaha Kementerian Pertahanan menjadi langsung di bawah pengawasan Kepala Staf Angkatan Perang.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"504",,121505,,"504",,"Menteri Agama: Instruksi No. 3/1947 tgl. 8 Maret 1947 tentang pemeriksaan calon Guru Agama Islam untuk Sekolah Rakyat Negeri, disertai penjelasannya dan surat pengantar.","Item","7 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"505",,121505,,"505",,"Panitia Pembentuk Akademi Ilmu Politik: Surat Edaran tgl. 15 Desember 1947 tentang pendirian Akademi Ilmu Politik.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"506",,121505,,"506",,"Telegram-telegram tgl. 16 Juni 1948-16 Agustus 1948 tentang masalah pendidikan dan kebudayan.","Item","8 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"507",,121505,,"507",,"Setneg kepada Sekdelindon: Telegram No. 1388/K-48 tgl. 27 Oktober 1947 tentang permohonan kehadiran Soetan Sjahrir pada acara Pembukaan Tugu Peringatan 25 Tahun Perguruan Diniyah Putri.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"508",,121505,,"508",,"Ketua Pusat Tenaga Pelukis Indonesia di Jogjakarta kepada Presiden: Surat, tgl. 8 Oktober 1949 tentang permohonan agar Presiden mau menjadi anggota penyokong (donatur) dari usaha Eksposisi Tetap Seni Rupa, disertai lampiran.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"509",,121505,,"509",,"Panitia Kongres Antar Indonesia kepada Setneg: Surat tgl. 22 Oktober 1949 tentang penyelenggaraan Kongres Pendidikan antar Indonesia.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"511",,121505,,"511",,"Kementerian Pendidikan Pengajaran dan Kebudayaan kepada semua Kementerian dan Jabatan yang berdiri sendiri: Surat tgl. 24 November 1949 tentang pemberian Surat Tanda Tamat Belajar SR IV tahun pelajaran 1948/1949 dalam bulan Desember 1949","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"512",,121505,,"512",,"P.B. PGRI (Pengurus Besar Persatuan Guru Republik Indonesia) kepada Perdana Menteri RIS: Surat tgl. 17 Desember 1947 tentang usul sebagai Menteri Pendidikan Pengajaran dan Kebudayaan.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"513",,121505,,"513",,"Markas Komando Jawa Staf Terr/Jawa kepada Menteri Pendidikan Pengajaran dan Kebudayaan, Menteri Pertahanan dan Menteri Keuangan: Surat tgl. 22 Desember 1949 tentang Rancangan Peraturan Pemerintah mengenai penghargaan Pemerintah kepada pelajar yang berbakti.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Tembusan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121506,121500,,,,"F. ADMINISTRASI PEGAWAI","File",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"514",,121506,,"514",,"Undang-undang tahun 1945 tentang sumpah Pegawai Negara Republik Indonesia.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"515",,121506,,"515",,"Undang-undang tanpa nomor tahun 1945 tentang sumpah, pendirian dan sikap pegawai negeri.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"516",,121506,,"516",,"Dewan Kementerian: Undang-undang tgl. 10 September 1945 tentang disiplin dan kesetiaan pegawai RI terhadap pemerintah RI.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"517",,121506,,"517",,"Badan Pekerja Komite Nasional Pusat kepada Presiden: Surat tgl. 23 September 1947 tentang disetujuinya Rancangan Undang-undang Kerja tahun 1947, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"518",,121506,,"518",,"Undang-undang No. 23 tgl. 23 Juli 1948 tentang pengawasan perburuhan tahun 1948.","Item","11 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"519",,121506,,"519",,"Pemerintah RI Jogjakarta: Peraturan No. 7 tahun 1946 tgl. 1 Agustus 1946 tentang pemberian pangkat Militer Tituler kepada Ketua, Wakil Ketua dan anggota-anggota Mahkamah Tentara Agung, Jaksa Tentara dan Panitera Mahkamah Tentara.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"520",,121506,,"520",,"Pemerintah RI Jogjakarta: Peraturan No. 13 tgl. 29 Mei 1946 tentang peraturan perjalanan dinas, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"521",,121506,,"521",,"Pemerintah RI Jogjakarta: Peraturan No. 16 tgl. 14 Juni 1947 tentang instruksi untuk walikota.","Item","10 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"522",,121506,,"522",,"Peraturan RI Jogjakarta: Peraturan No. 17 tgl. 1, 25 Juli 1947 tentang penyelenggaraan rumah negeri untuk para Menteri RI.","Item","8 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"523",,121506,,"523",,"Pemerintah RI Jogjakarta: Peraturan No. 19 tgl. 25 Juli 1947 tentang penambahan pada Peraturan Pemerintah No. 10 tahun 1947 mengenai sumpah jabatan untuk Hakim, Jaksa dan Panitera Pengganti pada pengadilan negeri.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"524",,121506,,"524",,"Wakil Sekretaris Negara kepada Ketua Badan Pekerja Komite Nasional Pusat: Surat tgl. 26 Agustus 1947 tentang permohonan disetujuinya Peraturan Pemerintah No. 21 tahun 1947 oleh BP Komite Nasional Pusat.","Item",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,"Fisik arsip tidak ada","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"525",,121506,,"525",,"Peraturan Pemerintah No. 21 tahun 1947 tgl. 27 Juli 1947 tentang kementerian yang dianggap perlu mempunyai wakil di daerah luar Jawa, Presiden dapat mengangkat seorang komisaris negara untuk urusan kementerian tersebut.","Item","10 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"526",,121506,,"526",,"Pemerintah RI Jogjakarta: Peraturan No. 24 tgl. 4 September 1947 tentang peraturan sumpah jabatan Pegawai Polisi dan Peraturan No. 1 tgl. 19 Januari 1948 tentang penundaan berlakunya pasal 6 Osamu Seirei No. 7 tahun 1944 yaitu mengenai lamanya jabatan Kepala Desa.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"527",,121506,,"527",,"Pemerintah RI Jogjakarta: Peraturan No. S.3 tgl. 5 Februari 1948 tentang peraturan sumpah jabatan Hakim, Jaksa, Panitera serta Panitera Pengganti pada Pengadilan dan Pengadilan Tentara.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"528",,121506,,"528",,"Pemerintah RI Jogjakarta: Peraturan No. S.4 tgl. 7 Februari 1948 tentang pemberian pangkat Militer Tituler kepada Hakim, Jaksa serta Panitera pada Pengadilan Tentara yang bukan Opsir Tentara.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"529",,121506,,"529",,"Pemerintah RI Jogjakarta: Peraturan No. 9 tgl. 20 April 1948 tentang pelaksanaan aturan-aturan dalam Undang-undang Kerja tahun 1948, disertai penjelasannya.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"530",,121506,,"530",,"Pemerintah RI Jogjakarta: Peraturan No. 9 tgl. 29 Mei 1948 tentang sumpah jabatan Pegawai Negeri dan anggota Angkatan Perang, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"531",,121506,,"531",,"Pemerintah RI Jogjakarta: Peraturan No. 11 tgl. 30 Mei 1948 tentang Kantor Urusan Pegawai Negeri.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"532",,121506,,"532",,"Pemerintah RI Jogjakarta: Peraturan No. 22 tgl. 16 September 1948 tentang peraturan penghargaan pengalaman bekerja, disertai penjelasannya.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"533",,121506,,"533",,"Pemerintah RI Jogjakarta: Peraturan No. 35 tgl. 29 September 1948 tentang perjalanan dinas menteri.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"534",,121506,,"534",,"Pemerintah RI Jogjakarta: Peraturan No. 45 tgl. 9 Oktober 1948 tentang pemberian pangkat Militer Tituler kepada Hakim yang bukan Opsir Tentara, Jaksa serta Panitera pada pengadilan atau kejaksaan dalam lingkungan Peradilan Ketentaraan.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep, salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"535",,121506,,"535",,"Pemerintah RI Jogjakarta: Penetapan No. 4A/S.D tgl. 6 Februari 1946 tentang pengangkatan pejabat di lingkungan Angkatan Laut Indonesia.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"536",,121506,,"536",,"Pemerintah RI Jogjakarta: Penetapan No. 4.B/S.D tgl. 23 Februari 1946 tentang pembentukan dan pengangkatan Anggota Panitia besar Penyelenggara Organisasi Tentara.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
