,referenceCode,legacyId,parentId,qubitParentSlug,identifier,accessionNumber,title,levelOfDescription,extentAndMedium,repository,archivalHistory,acquisition,scopeAndContent,appraisal,accruals,arrangement,accessConditions,reproductionConditions,language,script,languageNote,physicalCharacteristics,findingAids,locationOfOriginals,locationOfCopies,relatedUnitsOfDescription,publicationNote,digitalObjectURI,digitalObjectChecksum,generalNote,subjectAccessPoints,placeAccessPoints,nameAccessPoints,genreAccessPoints,descriptionIdentifier,institutionIdentifier,rules,descriptionStatus,levelOfDetail,revisionHistory,languageOfDescription,scriptOfDescription,sources,archivistNote,publicationStatus,physicalObjectName,physicalObjectLocation,physicalObjectType,alternativeIdentifiers,alternativeIdentifierLabels,eventDates,eventTypes,eventStartDates,eventEndDates,eventDescriptions,eventActors,eventActorHistories,eventPlaces,culture
592,573,,121506.0,,573.0,,"Presiden Pangliman Tertinggi Angkatan Perang: Surat Keputusan tgl. 28 November 1947 tentang pemberian pangkat Militer Tituler kepada pegawai sipil, disertai lampiran.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
593,574,,121506.0,,574.0,,Presiden RI: Surat Keputusan No. 1/P.CIV/48 tgl. 12 Januari 1948 tentang pemberhentian dengan hormat H. Rasjidi dari jabatannya sebagai Sekretaris Jenderal Kementerian Agama.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, konsep",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
594,575,,121506.0,,575.0,,Presiden RI: Surat Keputusan tgl. Mei 1948 tentang usul penyesuaian pangkat bagi Wakil Kepala Jawatan Tambang/Geologi.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, konsep",,,,,,,,,,,,,,Rusak ringan,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
595,576,,121506.0,,576.0,,Presiden RI: Surat Keputusan No. 54/A.Civ/48 tgl. 30 Mei 1948 tentang pengangkatan Mr. A.G. Pringgodigdo (Sesneg) menjadi Komisaris Negara Urusan Dalam Negeri di Sumatera merangkap anggota Komisariat Pemerintah Pusat.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
596,577,,121506.0,,577.0,,"Setneg kepada Suryocondro di Pegangsaan Timur 56 Jakarta: Telegram tgl. 15 Juli 1948 tentang Surat Keputusan Presiden mengenai pemberhentian Dr. Soeharto selaku Kepala Administrasi Militer Pusat merangkap dokter pribadi Presiden, disertai lampiran.",Item,9 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
597,578,,121506.0,,578.0,,"Presiden RI: Surat Keputusan No. 68/A.Mil/48 tgl. 17 Juli 1948 tentang pemindahan Letkol D. Jahja, Kepala Staf Operatief Komando Sumatera ke Staf Angkataran Darat dengan pangkat Letnan Kolonel dan pengangkatan Kolonel Ismael Lengah, Panglima Divisi IX di Sumatera sebagai Kepala Staf Operatif Komando Sumatera dengan pangkat Kolonel.",Item,5 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
598,579,,121506.0,,579.0,,Presiden RI: Surat Keputusan No. 64/P.Mil/48 tgl. 31 Juli 1948 tentang pemberhentian dengan hormat atas permintaan sendiri Kolonel R. Didi Kartasasmita dari jabatannya dan dari dinas ketentaraan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
599,580,,121506.0,,580.0,,Presiden RI: Surat Keputusan No. 64/P.Mil/48 tgl. 31 Juli 1948 tentang pemberhentian dengan hormat atas permintaan sendiri Kolonel Soedibyo dari jabatannya dan dari dinas ketentaraan.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
600,581,,121506.0,,581.0,,Presiden RI: Surat Keputusan No. 75/A.Mil/48 tgl. 16 September 1948 tentang pemberian pangkat Gunernur Militer kepada Kolonel Gatot Subroto selama menjalankan tugas kewajibannya sebagai Komandan Daerah Militer Karesidenan Surakarta dan Semarang.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
601,582,,121506.0,,582.0,,"Presiden RI: Surat Keputusan No. 73/P. Civ/48 tgl. 6 Oktober 1948 tentang pemberhentian dengan hormat Mr. Ruphinus Lumban Tobing dari jabatannya sebagai Wakil Jaksa Agung Sementara di Sumatera, pemberian jabatan itu kembali kepada Abdul Muthalib Mono.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
602,583,,121506.0,,583.0,,Presiden RI: Surat Keputusan No. J/571/1948 tgl. 11 Oktober `948 tentang Ir. Kaslan Abd. Tohir (Penasehat ahli/pegawai tinggi Tingkat III pada Kementerian Kemakmuran) yang diperbantukan kepada Staf Angkatan Perang RI.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
603,584,,121506.0,,584.0,,"Presiden RI: Surat Keputusan No. 90/A.Civ/48 tgl. 16 November 1948 tentang pengangkatan sebagai Thesaurier Jenderal pada Kementerian Keuangan Mr. R. Soetikno Slamet (Kepala Jawatan Pajak merangkap Kepala Bagian Urusan Uang, Kredit dan Bank) dan R. Kadarisman Notopradjarto (Kepala Muda Jawatan Keuangan) dan pencabutan SK Menteri Keuangan tgl. 15 Agustus 1948 No. U.P.5-10-9.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
604,585,,121506.0,,585.0,,Presiden RI: Surat Keputusan No. 92/A.Mil/48 tgl. 18 November 1948 tentang pemberian pangkat tituler Letnan Jenderal kepada Menteri Negara Sri Sultan Hamengku Buwono IX.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
605,586,,121506.0,,586.0,,Presiden RI: Surat Keputusan No. 94/A.Mil/48 tgl. 22 November 1948 tentang perubahan dalam personalia Kementerian Pertahanan dan Angkatan Perang.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
606,587,,121506.0,,587.0,,"Presiden RI: Surat Keputusan tahun 1949 tentang pemberhentian dengan hormat dari jabatannya sebagai Kepala Bagian Peranakan dan Bangsa Asing Kementerian Dalam Negeri, Mr. R. Soejoedi.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
607,588,,121506.0,,588.0,,"Presiden RI: Surat Keputusan No. 10/A/49 tgl. 4 Agustus 1949 tentang pengangkatan Menteri Pertahanan Sri Sultan Hamengku Buwono IX menjadi Plt. Perdana Menteri selama Wakil Presiden/Perdana Menteri ada di luar negeri, disertai surat pengantar.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, pertinggal",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
608,589,,121506.0,,589.0,,Presiden RI: Daftar lampiran surat keputusan No. 14/A/1949 tgl. 5 Agustus 1949 tentang pengangkatan Mr. Icksan menjadi Sekretaris Jenderal Kementerian Luar Negeri.,Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
609,590,,121506.0,,590.0,,"Presiden RI: Surat Keputusan No. 11/A/49 tgl. 6 Agustus 1949 tentang pengangkatan Ki Hajar Dewantara sebagai Wakil Ketua Dewan Pertimbangan Agung, disertai surat pengantar.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
610,591,,121506.0,,591.0,,"Presiden RI: Surat Keputusan No. 17/A/49 tgl. 19 Agustus 1949 tentang pengangkatan Mr. R. Soebagjo Djojowidagdo menjadi pegawai yang diperbantukan kepada Menteri Kemakmuran merangkap Pimpinan Sekretariat Kementerian Kemakmuran, disertai lampiran.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
611,592,,121506.0,,592.0,,"Presiden RI: Surat Keputusan No. 21/A/1949 tgl. 27 Agustus 1949 tentang pengangkatan Mr. Soekardan Pronohadikoesoemo menjadi Sekretaris Jenderal pada Kementerian Perhubungan, disertai lampiran.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
612,593,,121506.0,,593.0,,Presiden RI: Surat Keputusan No. 4/P/49 tgl. 27 Agustus 1949 tentang pemberhentian dengan hormat Ir. E. Abdul Karim dari jabatannya sebagai Sekretaris Jenderal pada Kementerian Perhubungan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
613,594,,121506.0,,594.0,,"Presiden RI: Surat Keputusan No. 22/A/49 tgl. 30 Agustus 1949 tentang pengangkatan Mr. I Gusti Ktut Pudja menjadi Gubernur yang diperbantukan pada Kementerian Dalam Negeri dan Mr. R. Imam Sudjahri menjadi Residen diperbantukan pada Kementerian Dalam Negeri, disertai lampiran.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
614,595,,121506.0,,595.0,,"Presiden RI: Surat Keputusan No. 23/A/49 tgl. 31 Agustus 1949 tentang pengangkatan Mr. Achmad Subardjo Djojoadhisurjo menjadi pegawai yang diperbantukan kepada Kementerian Luar Negeri, disertai lampiran.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
615,596,,121506.0,,596.0,,Presiden RI: Surat Keputusan No. 28/A/49 tgl. 10 September 1949 tentang pengangkatan R. Boediono sebagai Gubernur Jawa Tengah.,Item,8 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
616,597,,121506.0,,597.0,,Presiden RI: Surat Keputusan No. 45/A/49 tgl. 26 Oktober 1949 tentang pengangkatan Sri Paduka Hamengku Buwono IX menjadi Plt. Menteri Luar Negeri.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
617,598,,121506.0,,598.0,,Presiden RI: Surat Keputusan No. 54/A/49 tgl. 11 November 1949 tentang pengangkatan R. Soewihjo Walikota Jakarta diperbantukan pada Kementerian Dalam Negeri menjadi Koordinator Perwakilan RI di Jakarta langsung di bawah Perdana Menteri.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
618,599,,121506.0,,599.0,,Presiden RI: Surat Keputusan No. 60/A/49 tgl. 14 November 1949 tentang pengangkatan R. Singgih Praptodihardjo sebagai Sekretaris II Panitia Agraria untuk menggantikan M. Soegiri.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
619,600,,121506.0,,600.0,,Presiden RI: Surat Keputusan No. 11/P/49 tgl. 16 November 1949 tentang pemberhentian dengan hormat Sri Paduka Hamengku Buwono IX dari jabatan Plt. Perdana Menteri.,Item,6 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Konsep, stensilan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
620,601,,121506.0,,601.0,,Presiden RI: Surat Keputusan No. 12/P/49 tgl. 17 November 1949 tentang pemberhentian dengan hormat Sri Paduka Hamengku Buwono IX dari jabatannya sebagai Plt. Menteri Luar Negeri kepada P.J.M. Wapres/PM.,Item,5 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Konsep, stensilan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
621,602,,121506.0,,602.0,,Presiden RI: Surat Keputusan No. 70/A/49 tgl. 24 November 1949 tentang pembentukan kantor perwakilan Kementerian Kesehatan di Jakarta dan pengangkatan Dr. R. Kodijat menjadi ketua kantor Perwakilan Kementerian Kesehatan tersebut.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
622,603,,121506.0,,603.0,,"Presiden RI: Surat Keputusan No. 72/A/49 tgl. 29 November 1949 tentang pengangkatan Mr. M. Saubari menjadi Sekretaris Jenderal Kementerian Keuangan, disertai lampiran.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Kutipan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
623,604,,121506.0,,604.0,,Presiden RI: Surat Keputusan No. 13/P/49 tgl. 6 Desember 1949 tentang pemberhentian dengan hormat atas permohonan sendiri Letnan Kolonel Soenarjo dari jabatannya sebagai anggota Markas Berkas Komando Jawa dan pengeluarannya dari dinas tentara.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
624,605,,121506.0,,605.0,,"Presiden RI: Surat Keputusan No. 78/A/49 tgl. 7 Desember 1949 tentang pengangkatan Mr. A.G. Pringgodigdo sebagai Sekretaris Negara, disertai lampiran.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
625,606,,121506.0,,606.0,,Presiden RI: Surat Keputusan No. 95/A/49 tgl. 14 Desember 1949 tentang pengangkatan Bupati Asaari menjadi anggota Panitia Sumatera Selatan dan pemberhentian dengan hormat Kolonel Simbolon sebagai anggota Panitia Sumatera Selatan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
626,607,,121506.0,,607.0,,"Presiden RI: Surat-surat keputusan tgl. 30 November 1949-22 Desember 1949 tentang pengangkatan pegawai-pegawai Kementerian, disertai lampiran.",Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
627,608,,121506.0,,608.0,,Presiden RI: Surat Keputusan No. 104/A/49 tgl. 22 Desember 1949 tentang pemberian panggkat efektif kepada beberapa Perwira Angkatan Laut RI.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,Rusak ringan,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,N.B. Arsip tidak lengkap,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
628,609,,121506.0,,609.0,,"Presiden RI: Surat Keputusan No. 18/P/49 tgl. 22 Desember 1949 tentang pemberhentian dengan hormat Letnan Kolonel R. Djojosugardo dari jabatannya sebagai perwira yang diperbantukan kepada Gubernur Militer I dan pengeluarannya dari dinas tentara, disertai lampiran.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Salinan, kutipan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
629,610,,121506.0,,610.0,,Presiden RI: Surat Keputusan No. 110/A/49 tgl.  24 Desember 1949 tentang pengangkatan Mr. R. Tjokroadisoemarto sebagai Pegawai Tinggi golongan VI/d.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
630,611,,121506.0,,611.0,,Perdana Menteri RI: Surat Keputusan No. 10/P.M./1947 tgl. 1 Oktober 1947 tentang pengangkatan Mr. Tadjuddin Noor sebagai Pegawai Negeri Tinggi Tingkat ke II diperbantukan kepada Perdana Menteri.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
631,612,,121506.0,,612.0,,"Perdana Menteri RI: Surat Keputusan No. 13/P.M./1947 tgl 17 Oktober 1947 tentang penempatan B. Susilo, Letnan Kolonel Jawatan V Kementerian Pertahanan untuk sementara di Kementerian Luar Negeri.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
632,613,,121506.0,,613.0,,Wakil Perdana Menteri: Surat Keputusan No. 11/P.M./1947 tgl. 8 Oktober 1947 tentang penarikan kembali Surat Keputusan Pengangkatan K.H.M. Fathoerrachman sebagai Penasehat Menteri Agama.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,Rusak berat,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
633,614,,121506.0,,614.0,,Wakil Perdana Menteri RI di Sumatera: Surat No. 13/Up/WKPM tgl. 19 Desember 1949 tentang pengangkatan R. Marjono Danoebroto menjadi Sekretaris Wakil Perdana Menteri RI di Sumatera dengan pangkat Residen.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,Rusak berat,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
634,615,,121506.0,,615.0,,"Presiden: Maklumat No. 8 tgl. 11 November 1947 tentang pemberhentian dengan hormat dari jabatannya yaitu: Menteri Dalam Negeri, Menteri Agama, Menteri Agama ad interim, Menteri Penerangan, Menteri Muda Penerangan dan pengangkatan-pengangkatan Wakil Perdana Menteri, Menteri Dalam Negeri, Menteri Agama, Menteri Penerangan, Menteri Negara, Menteri Muda Penerangan, dan Menteri Muda Kehakiman.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, konsep",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
635,616,,121506.0,,616.0,,"Presiden: Maklumat No. 1 tgl. 22 Januari 1948 tentang pemberhentian dengan hormat dari jabatannya yaitu Wakil Perdana Menteri, Menteri Negara dan Menteri Muda Kehakiman.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
636,617,,121506.0,,617.0,,"Presiden: Maklumat No. 2 tgl. 23 Januari 1948 tentang pemberhentian dengan hormat dari jabatannya yaitu: Perdana Menteri merangkap Menteri Pertahanan, Wakil Perdana Menteri II, Wakil Perdana Menteri III merangkap Menteri Kemakmuran, dll. dan pemberian kuasa kepada Kabinet Demisioner untuk meneruskan pekerjaannya sampai pelantikan Kabinet Baru.",Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
637,618,,121506.0,,618.0,,"Presiden RI: Maklumat No. 3 tgl. 29 Januari 1948 tentang pembentukan Presidensil Kabinet yang susunannya adalah sbb: Dr. Soekiman (Menteri Dalam Negeri ad interim), H.A. Salim (Menteri Luar Negeri), Mr. A.A. Maramis (Menteri Keuangan), dll dan pemberian kekuasaan sebagai pimpinan sehari-hari.",Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
638,619,,121506.0,,619.0,,Presiden RI: Maklumat No. 6 tgl. 13 April 1948 tentang pengangkatan Ir. F. Laoh menjadi Menteri Pekerjaan Umum dan pemberhentian dari jabatannya sebagai Menteri Pekerjaan Umum ad interim Ir. Juanda.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,Rusak sedang,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
639,620,,121506.0,,620.0,,"Presiden RI: Maklumat No. 7 tgl. 18 November 1948 tentang pemberian kuasa kepada Menteri Perhubungan, Ir. Djuanda untuk memegang Pimpinan Kabinet sehari-hari selama Wakil Presiden, Mohammad Hatta, berada di Sumatera.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
640,621,,121506.0,,621.0,,Pemerintah RI: Pengumuman tanpa nomor tgl. 5 Desember 1945 tentang peletakan jabatan Menteri Keuangan dan Menteri Sosial dan mengangkat penggantinya.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
641,622,,121506.0,,622.0,,"Pemerintah RI: Pengumuman No. 1, 2, 3 tgl. 30 Januari 1948 dan 2 Februari 1948 tentang kedudukan pegawai-pegawai Republik di daerah-daerah pendudukan Belanda.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Duplikat,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
642,623,,121506.0,,623.0,,"Pemerintah RI: Pengumuman tgl. 16 September 1948 tentang pembentukan Karesidenan Surakarta dan Karesidenan Semarang sebagai Daerah Militer Istimewa dan pengangkatan-pengangkatan: 1. Kolonel Gatot Subroto sebagai Komandan Militer Karesidenan Surakarta dan Semarang, 2. Kepala Staf Pertahanan Jawa Tengah, Kolonel Bambang Soegeng dan Wakil Jaksa Agung, Mr. Muljanto sebagai Penasehat Komandan Daerah Militer Istimewa Karesidenan Surakarta dan Semarang.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, konsep",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
643,624,,121506.0,,624.0,,Pemerintah RI Jogjakarta: Pengumuman tanpa nomor tgl. 20 Agustus 1949 tentang kedudukan pegawai negeri.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
644,625,,121506.0,,625.0,,Panglima Tertinggi Angkatan Perang RI kepada Penglima Besar Angkatan Perang Mobil: Surat Perintah No. 9/P.T./48 tgl. 22 April 1948 tentang masalah sejarah hidup summair dari para opsir yang diusulkan dalam lampiran Surat Panglima Besar Angkatan Perang Mobil tgl. April 1948 No. 212/K.B./48/A.P.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
645,626,,121506.0,,626.0,,Pemerintah RI Jogjakarta: Keterangan tgl. 31 Maret 1948 tentang masalah-masalah pegawai-pegawai di daerah-daerah pendudukan.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, konsep",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
646,627,,121506.0,,627.0,,Menteri yang diserahi Urusan Pegawai Negeri: Peraturan No. 4/S/1949 tgl. 8 Agustus 1949 tentang pengangkatan kembali pegawai negeri.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
647,628,,121506.0,,628.0,,Menteri Pertahanan: Surat Penetapan No. 112/mp tahun 1947 tgl. 17 Oktober 1947 tentang penempatan Letkol B. Susilo Jawatan V Kementerian Luar Negeri.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
648,629,,121506.0,,629.0,,Menteri Pertahanan: Surat Penetapan No. J/151/1948 tgl. 9 April 1948 tentang pencabutan keputusan No. J/107/1948 tgl. 18 Maret tentang penempatan orang-orang pada Sekretariat B. Kementerian Pertahanan dan pemindahan Rr. Moerdiyah dari Sekretariat Staf Gabungan ke Sekretariat A Kementerian Pertahanan.,Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
649,630,,121506.0,,630.0,,Menteri Pertahanan: Surat Penetapan No. J/539/1948 tgl. 1 November 1948 tentang penunjukan beberapa perwira sebagai anggota-anggota tidak tetap dalam Dewan Kehormatan Militer.,Item,,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,Fisik arsip tidak ada,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
